ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
79,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,I think there is a good case for well defined prefix meanings like discussed here: https://www.joelonsoftware.com/2005/05/11/making-wrong-code-look-wrong/,,Slightly Strict,,"C++,Python,Java,C#,Other language? Please specify below.","Kotlin, Swift",5 - 9 years
80,Strongly Agree,"If there is a consistent standard, I only have to remember the words in the name.  So if I remember  ""Get Box Width"", I don't have to worry if it's ""get_box_width"" or ""GetBoxWidth"", etc.  If there is no consistency, it's way harder to remember the name of the method accurately.",Agree,"I don't see this as consistently followed, but it's a personal preference.",Disagree,"I have seen cases where acronyms are used for long words.  For instance methods arround CurrentlyActiveDirectoryWidget may be referenced in methods GetCADWName() or something like that.  But in general, I only am ok not using natural language words when it's to replace long strings of words with acronyms.",Disagree,I think that context can make up for such abbreviations and I run into this frequently without any problem.,Disagree,"Again, I believe that context can make it clear which expansion is correct.  I've run into this but have never had a problem.",6,"I favor being verbose or being terse.  So some of the methods I write have long names, but it's clear what they do, and I rely on autocomplete to help people.  ",Agree,,Agree,"I don't feel strongly about this, but I think it makes it easier to understand so I follow this and appreciate when others do.",Strongly Agree,I shudder to think of what I would do to someone that wrote shipping code that had single letter method names!,Agree,"This question is a little unclear.  My stance is that I don't like a system term for suffix/prefix if namespaces are in the language.  If the language is C or another language that doesn't support namespaces, then I'm totally ok with it (and I think I prefer it).","I work in C# mostly.  For interfaces, I prefer the name to have a capital I prefix.  If a method is asynchronous, I prefer for it to have an async suffix.  I also prefer symmetric method names (If there is an OpenFoo, there is also a CloseFoo.  Same with Begin, End, etc.).",Strict,"In any project I'm on, we decide on the conventions up front.  If there is a pre-existing code base, code reviews will spot violations of the naming convention and require fixing them.","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",R,10+ years
81,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,,,,,
82,Agree,"Some companies use different conventions. As long there is a degree of consistency, it should be okay.",Strongly Agree,"Again, depends on workplace convention. Consistency is important. ",Strongly Agree,Good for program comprehension.,Strongly Agree,,Strongly Agree,,3,,Agree,,Strongly Agree,Good for program comprehension,Strongly Agree,,Agree,,PascalCase,Strict,CamelCase,"C++,Java,C",,10+ years
83,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"Python,Java,C#,JavaScript",,5 - 9 years
86,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,12,,,,Agree,,Strongly Agree,,,,,No Standards,No standards in place,"C++,C#",,3 - 4 years
88,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Disagree,,,No Standards,,"Java,C#,JavaScript",,3 - 4 years
90,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,Disagree,Some propriety technologies require alternative names to contextualize,,,,,,,,,,,,,,,,
91,Strongly Agree,"I like those naming styles, but always depends on programming language ",Agree,"I agree, but sometimes I prefer to use the verb in 3rd person, like .exists()",Strongly Agree,,Strongly Agree,,Strongly Agree,,5,"It depends. For example, method names of unit tests are good example where using long names is acceptable ",Agree,"Although I agreed, I think the names come from the language used in the domain/business ",Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,Legacy system written by devs who doesn’t worry about naming conventions ,Java,,10+ years
92,Strongly Agree,,Strongly Disagree,,Agree,,Disagree,Language-specific. It depends.,Agree,,15,3-15 characters is fine,Disagree,,Disagree,"Language-specific, it depends",Agree,"Language-specific, it depends!",Strongly Agree,,,Strict,,"Python,Java,JavaScript,Other language? Please specify below.","Golang
Kotlin
Scala",10+ years
93,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,JavaScript,Other language? Please specify below.",TypeScript,10+ years
94,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Not Strict,,"Java,JavaScript",,10+ years
95,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,C#,JavaScript",,5 - 9 years
96,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript",,3 - 4 years
97,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C",,3 - 4 years
98,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,3,,Strongly Agree,,Agree,,Agree,,Agree,,,Strict,,"Python,Java",,3 - 4 years
99,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Agree,,Agree,,Agree,,Agree,,,,,,,,,,,,,,,,,,,
101,Strongly Agree,IDE should check if a standard is followed or not!,Strongly Agree,,Agree,"Although, naming is context-dependent: cccc() may make sense in some context.",Agree,"I think that it is also a question of ""common"" terms: if in some piece of code, the term ""repr"" appears over and over again, then it makes sense to use it.",Agree,"Same as previous, context matters.",7,"I agree but a hard rule should be avoided, rather a warning...",Strongly Agree,"Even more so in international development (open source, etc.) in which developers may not be native speakers.",Strongly Agree,,Strongly Agree,"Although, again, in some context ""pi"" make sense ;-)",Agree,"Not to belabour my point but context matters ;-), like ""gimp""","Sometimes I find myself ""breaking"" some conventions so that reading the code feels more natural. It's really important that someone else can read code after its developers.",Strict,"CamelCase and generally, Java standards.","Java,C,JavaScript",,10+ years
102,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,JavaScript",,3 - 4 years
104,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Disagree,We can directly put method name with it's details so we can avoid _ underscore keyword for each method calling and also it's easy to call eg. GetEmployeeList,Agree,This is easiest way to understand what we are calling and why we are calling the method,Agree,,Strongly Agree,,Agree,,8,We can have long name as well so it could get easy to understand for us as well as other developers too,Agree,,Strongly Agree,,Agree,,Disagree,,Naming standard should be simple and sweet so that we can understand easily what we are calling,Not Strict,There is no restrictions as long as people don't have problem,Other language? Please specify below.,"C#, JavaScript",3 - 4 years
106,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,11,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,JavaScript",,3 - 4 years
107,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C#,JavaScript",,10+ years
108,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Java,C,C#,JavaScript,Other language? Please specify below.",Ruby,10+ years
109,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,4,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
110,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,4,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,,Strict,,"Python,Other language? Please specify below.","Python, ruby, php ",10+ years
111,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,C#",,10+ years
112,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,I like the PowerShell Naming convention with standard verbs acting on a camel case noun. ,Slightly Strict,,"C++,Python,C,C#,JavaScript,Other language? Please specify below.",PoweShell,10+ years
113,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,Long fonctions in tests are not problematic,Strongly Agree,,Strongly Agree,"I strongly agree, but not everone can speak english very well (code language is another problem)",Strongly Agree,,Strongly Agree,,,Slightly Strict,,"Python,JavaScript",,5 - 9 years
114,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,,Java,,3 - 4 years
115,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,4,,Agree,,Disagree,,Agree,,Strongly Agree,,,Strict,,"C++,C,JavaScript,Other language? Please specify below.",PHP,10+ years
116,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,C#,JavaScript,Other language? Please specify below.",Delphi,10+ years
117,,,,,,,,,,,2,,,,,,,,,,,,,Python,,Less than a year
118,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,Unless it's a unit test ,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,C#,JavaScript",,10+ years
119,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,6,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"Java,C,JavaScript",,10+ years
120,Agree,No unscores allowed ,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,,No Standards,,"C++,Java,C#",,10+ years
121,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,It depends: in C where all functions are in the same scope common prefix (that breaks gramatically correct structure) is useful. In case of methods associated with class/namespace it's better to use sentence,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Python,C,C#,JavaScript",,10+ years
122,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,15,I don't want to answer. Namers should focus on clarity not length.,Agree,,Strongly Agree,,Agree,,Strongly Agree,,,Strict,Everything in this survey except length,"Java,C,JavaScript,Other language? Please specify below.",Ruby Go Perl Erlang,10+ years
123,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Disagree,,15,,Disagree,,Disagree,,Agree,,Disagree,,,Strict,,"C++,Python,Java,C,C#,JavaScript",,10+ years
124,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,5,"Depends (as always): test methods’ names can be as long as required, production methods’ names should be as short as possible but still be long enough to describe the intent.",Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,"Also, private methods can have longer names if it helps with the intent, public methods’ names should be as short as possible.",No Standards,,"Java,JavaScript,Other language? Please specify below.","Kotlin, Rust",10+ years
125,Agree,,,,Strongly Agree,,Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Disagree,,Strongly Agree,,,No Standards,,"C#,JavaScript",,5 - 9 years
126,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,4,,Disagree,,Strongly Agree,,Agree,,Strongly Agree,,,Very Strict,,"Java,JavaScript",,10+ years
127,Strongly Agree,,Disagree,,Disagree,,Agree,,Agree,,4,,Strongly Agree,,Disagree,,Agree,,Agree,,"Most important thing is that there be standards, specifics less so.",Slightly Strict,,"C++,Java,C,C#,JavaScript",,10+ years
128,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Very Strict,,"C++,Python,Java,C,JavaScript",,10+ years
129,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"JavaScript,Other language? Please specify below.",Php,10+ years
130,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java,C,C#,JavaScript",,10+ years
131,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Java,C,C#,Other language? Please specify below.",D,10+ years
132,Strongly Agree,,Agree,,Agree,,Agree,"For very frequently used methods this rule can be relaxed, perhaps with an annotation.",Agree,,5,"This varies extensively depending on the complexity of the domain being modelled, favouring clarity over brevity.",Agree,,Agree,"When systematically naming methods, it can sometimes be beneficial to bend this rule to favour consistency over grammatical correctness.",Strongly Agree,,Agree,,,Slightly Strict,We discuss and agree all naming: it’s a small team with excellent communication. Standards are implicit.,"C++,Java,C,C#,JavaScript",,10+ years
